"global_concept_number","industry_order","industry_name","internal_concept_type","concept_number_in_section","user_facing_video_style","concept_title","concept_raw_text","source_file","source_batch","is_active"
"159","2","יופי ואסתטיקה","לפני ואחרי עדין","59","ugc","אותו יום, תחושה אחרת","UGC type: לפני ואחרי עדין | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: זה לא לפני־אחרי מוגזם. זה פשוט מה שהשתנה אצלי אחרי [specific_product]. | Core idea: הסרטון מראה מצב לפני ומצב אחרי בצורה אמינה, עם שינוי קטן, מוחשי ולא מוגזם. בתוך סיטואציה של לפני דייט, עם דגש על הצוות נותן ביטחון. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני דייט, בלי להרגיש כמו פרסומת | שוט ראשון: חיוך קטן אחרי הטיפול, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: קלוז־אפ עדין לתוצאה, שמוכיח/מדגים ש-הצוות נותן ביטחון | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני דייט, ומראה דרך צילום פשוט ש-הצוות נותן ביטחון. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-המקום נקי ומרגיע, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הוכחה ויזואלית, אמינות, ציפייה ריאלית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"160","2","יופי ואסתטיקה","לפני ואחרי עדין","60","ugc","שינוי קטן שמורגש","UGC type: לפני ואחרי עדין | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: זה לא לפני־אחרי מוגזם. זה פשוט מה שהשתנה אצלי אחרי [specific_product]. | Core idea: הסרטון מראה מצב לפני ומצב אחרי בצורה אמינה, עם שינוי קטן, מוחשי ולא מוגזם. בתוך סיטואציה של כחלק משגרת טיפוח, עם דגש על זה נראה טוב גם באור יום. | Video structure: פתיחה סלפי/POV בסיטואציה של כחלק משגרת טיפוח, בלי להרגיש כמו פרסומת | שוט ראשון: צילום מוצר על המדף, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: ידיים מסדרות את הערכה, שמוכיח/מדגים ש-זה נראה טוב גם באור יום | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך כחלק משגרת טיפוח, ומראה דרך צילום פשוט ש-זה נראה טוב גם באור יום. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-הטיפול לא מרגיש דוחף מכירה, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הוכחה ויזואלית, אמינות, ציפייה ריאלית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"161","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","61","ugc","שלושה דברים ששמתי לב אליהם","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של לפני אירוע, עם דגש על התוצאה נראית טבעית. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני אירוע, בלי להרגיש כמו פרסומת | שוט ראשון: מראה לפני יציאה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: כניסה לקליניקה, שמוכיח/מדגים ש-התוצאה נראית טבעית | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני אירוע, ומראה דרך צילום פשוט ש-התוצאה נראית טבעית. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-יש התאמה אישית, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"162","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","62","ugc","שלוש סיבות שזה נשאר אצלי","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של בבוקר מול המראה, עם דגש על ההסבר ברור ולא מלחיץ. | Video structure: פתיחה סלפי/POV בסיטואציה של בבוקר מול המראה, בלי להרגיש כמו פרסומת | שוט ראשון: קלוז־אפ עדין לתוצאה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: כוס קפה לפני טיפול, שמוכיח/מדגים ש-ההסבר ברור ולא מלחיץ | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בבוקר מול המראה, ומראה דרך צילום פשוט ש-ההסבר ברור ולא מלחיץ. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-רואים הבדל קטן אבל משמעותי, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"163","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","63","ugc","שלושה פרטים קטנים","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של אחרי תקופה של הזנחה, עם דגש על המקום נקי ומרגיע. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי תקופה של הזנחה, בלי להרגיש כמו פרסומת | שוט ראשון: ידיים מסדרות את הערכה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: תאורה נקייה על הפנים, שמוכיח/מדגים ש-המקום נקי ומרגיע | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי תקופה של הזנחה, ומראה דרך צילום פשוט ש-המקום נקי ומרגיע. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-השגרה נהיית קלה יותר, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"164","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","64","ugc","מה שמתי לב אחרי שימוש","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של לפני חופשה, עם דגש על הטיפול לא מרגיש דוחף מכירה. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני חופשה, בלי להרגיש כמו פרסומת | שוט ראשון: כניסה לקליניקה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: בדיקה מול מראה, שמוכיח/מדגים ש-הטיפול לא מרגיש דוחף מכירה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני חופשה, ומראה דרך צילום פשוט ש-הטיפול לא מרגיש דוחף מכירה. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-התחושה אחרי הטיפול בטוחה, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"165","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","65","ugc","שלוש נקודות למי שמתלבט","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של ביום צילום, עם דגש על יש התאמה אישית. | Video structure: פתיחה סלפי/POV בסיטואציה של ביום צילום, בלי להרגיש כמו פרסומת | שוט ראשון: כוס קפה לפני טיפול, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: תהליך קצר בלי לחשוף מדי, שמוכיח/מדגים ש-יש התאמה אישית | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך ביום צילום, ומראה דרך צילום פשוט ש-יש התאמה אישית. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-הצוות נותן ביטחון, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"166","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","66","ugc","דברים שלא ראיתי בתמונה","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של אחרי המלצה מחברה, עם דגש על רואים הבדל קטן אבל משמעותי. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי המלצה מחברה, בלי להרגיש כמו פרסומת | שוט ראשון: תאורה נקייה על הפנים, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: חיוך קטן אחרי הטיפול, שמוכיח/מדגים ש-רואים הבדל קטן אבל משמעותי | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי המלצה מחברה, ומראה דרך צילום פשוט ש-רואים הבדל קטן אבל משמעותי. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-זה נראה טוב גם באור יום, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"167","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","67","ugc","שלוש הפתעות קטנות","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של כשאין כוח להתאפר, עם דגש על השגרה נהיית קלה יותר. | Video structure: פתיחה סלפי/POV בסיטואציה של כשאין כוח להתאפר, בלי להרגיש כמו פרסומת | שוט ראשון: בדיקה מול מראה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: צילום מוצר על המדף, שמוכיח/מדגים ש-השגרה נהיית קלה יותר | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך כשאין כוח להתאפר, ומראה דרך צילום פשוט ש-השגרה נהיית קלה יותר. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-התוצאה נראית טבעית, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"168","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","68","ugc","שלושה רגעים ביום","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של אחרי סטרס, עם דגש על התחושה אחרי הטיפול בטוחה. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי סטרס, בלי להרגיש כמו פרסומת | שוט ראשון: תהליך קצר בלי לחשוף מדי, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: מראה לפני יציאה, שמוכיח/מדגים ש-התחושה אחרי הטיפול בטוחה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי סטרס, ומראה דרך צילום פשוט ש-התחושה אחרי הטיפול בטוחה. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-ההסבר ברור ולא מלחיץ, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"169","2","יופי ואסתטיקה","שלושה דברים ששמתי לב אליהם","69","ugc","שלושה יתרונות בלי חפירה","UGC type: שלושה דברים ששמתי לב אליהם | Use when: מתאים ל-קליניקת אסתטיקה, קוסמטיקאית, סטודיו לציפורניים, גבות, שיער, איפור, טיפוח עור או הסרת שיער כשרוצים לקדם טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא טיפול חדש, מבצע, תוצאה טבעית, סדרת טיפולים, מוצר טיפוח, שיקום עור או חבילת היכרות או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: שלושה דברים ששמתי לב אליהם אחרי שניסיתי את [specific_product]. | Core idea: פורמט רשימה קצרה שבו כל נקודה מקבלת שוט אחד ברור: פרט, שימוש, תחושה או תוצאה. בתוך סיטואציה של לפני דייט, עם דגש על הצוות נותן ביטחון. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני דייט, בלי להרגיש כמו פרסומת | שוט ראשון: חיוך קטן אחרי הטיפול, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: קלוז־אפ עדין לתוצאה, שמוכיח/מדגים ש-הצוות נותן ביטחון | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני דייט, ומראה דרך צילום פשוט ש-הצוות נותן ביטחון. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-נשים וגברים שרוצים להיראות טוב בלי להרגיש שמוכרים להם חלום מוגזם ונותן תחושה ש-המקום נקי ומרגיע, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: בהירות, קצב מהיר, תחושת ערך מיידי | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
