global_concept_number,industry_order,industry_name,internal_concept_type,concept_number_in_section,user_facing_video_style,concept_title,concept_raw_text,source_file,source_batch,is_active
228,3,פיטנס ותזונה,UGC המלצה | לא ציפיתי,28,ugc,זה היה אמור להיות רגיל,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: מודה; לא ממש הבנתי מה מיוחד ב[specific_product] עד שניסיתי את זה בעצמי. | Core idea: היוצר/ת מתחיל/ה מספקנות קלה ומגלה לאורך הסרטון פרט שימושי; טעים; נוח או מרגיע שמשנה את הרושם. בתוך סיטואציה של אחרי ארוחה כבדה; עם דגש על מרגישים שינוי באנרגיה. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי ארוחה כבדה; בלי להרגיש כמו פרסומת | שוט ראשון: מתאמן מתנשף ומחייך; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: נעליים ליד הדלת; שמוכיח ומדגים שמרגישים שינוי באנרגיה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך אחרי ארוחה כבדה; ומראה דרך צילום פשוט שמרגישים שינוי באנרגיה. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שהמסגרת מחזיקה אותך; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: ספקנות שהופכת להוכחה; סקרנות; אותנטיות | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
229,3,פיטנס ותזונה,UGC עדות עצמית | לא ציפיתי,29,ugc,הדבר הקטן ששינה לי את הדעה,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: מודה; לא ממש הבנתי מה מיוחד ב[specific_product] עד שניסיתי את זה בעצמי. | Core idea: היוצר/ת מתחיל/ה מספקנות קלה ומגלה לאורך הסרטון פרט שימושי; טעים; נוח או מרגיע שמשנה את הרושם. בתוך סיטואציה של לפני אימון ראשון; עם דגש על הקבוצה נותנת דחיפה. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני אימון ראשון; בלי להרגיש כמו פרסומת | שוט ראשון: שיחה קצרה עם מאמן; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: בקבוק מים בתיק; שמוכיח ומדגים שהקבוצה נותנת דחיפה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך לפני אימון ראשון; ומראה דרך צילום פשוט שהקבוצה נותנת דחיפה. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שההסבר לא שיפוטי; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: ספקנות שהופכת להוכחה; סקרנות; אותנטיות | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
230,3,פיטנס ותזונה,UGC המלצה | לא ציפיתי,30,ugc,באתי סקפטי/ת,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: מודה; לא ממש הבנתי מה מיוחד ב[specific_product] עד שניסיתי את זה בעצמי. | Core idea: היוצר/ת מתחיל/ה מספקנות קלה ומגלה לאורך הסרטון פרט שימושי; טעים; נוח או מרגיע שמשנה את הרושם. בתוך סיטואציה של אחרי חודש של התמדה; עם דגש על לא צריך להיות מושלם כדי להתמיד. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי חודש של התמדה; בלי להרגיש כמו פרסומת | שוט ראשון: סוף אימון על הרצפה; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: סטודיו לפני שיעור; שמוכיח ומדגים שלא צריך להיות מושלם כדי להתמיד | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך אחרי חודש של התמדה; ומראה דרך צילום פשוט שלא צריך להיות מושלם כדי להתמיד. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שההתקדמות מרגישה אפשרית; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: ספקנות שהופכת להוכחה; סקרנות; אותנטיות | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
231,3,פיטנס ותזונה,UGC המלצה | בעיה קטנה פתרון קטן,31,ugc,בעיה קטנה שעיצבנה אותי,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של אחרי יום עבודה; עם דגש על קל להתחיל גם בלי כושר שיא. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי יום עבודה; בלי להרגיש כמו פרסומת | שוט ראשון: נעליים ליד הדלת; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: תרגיל אחד פשוט; שמוכיח ומדגים שקל להתחיל גם בלי כושר שיא | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך אחרי יום עבודה; ומראה דרך צילום פשוט שקל להתחיל גם בלי כושר שיא. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שהאימון נכנס לשבוע עמוס; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
232,3,פיטנס ותזונה,UGC עדות עצמית | בעיה קטנה פתרון קטן,32,ugc,פתרון קטן ליום מעצבן,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של בוקר לפני כולם; עם דגש על המסגרת מחזיקה אותך. | Video structure: פתיחה סלפי/POV בסיטואציה של בוקר לפני כולם; בלי להרגיש כמו פרסומת | שוט ראשון: בקבוק מים בתיק; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: מדידה לא דרמטית; שמוכיח ומדגים שהמסגרת מחזיקה אותך | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך בוקר לפני כולם; ומראה דרך צילום פשוט שהמסגרת מחזיקה אותך. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שהתזונה לא מרגישה עונש; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
233,3,פיטנס ותזונה,UGC המלצה | בעיה קטנה פתרון קטן,33,ugc,הדבר שסגר לי פינה,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של כשאין מוטיבציה; עם דגש על ההסבר לא שיפוטי. | Video structure: פתיחה סלפי/POV בסיטואציה של כשאין מוטיבציה; בלי להרגיש כמו פרסומת | שוט ראשון: סטודיו לפני שיעור; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: סימון וי ביומן; שמוכיח ומדגים שההסבר לא שיפוטי | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך כשאין מוטיבציה; ומראה דרך צילום פשוט שההסבר לא שיפוטי. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שיש יחס אישי; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
234,3,פיטנס ותזונה,UGC עדות עצמית | בעיה קטנה פתרון קטן,34,ugc,לא דרמה; אבל זה עזר,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של אחרי חופשה; עם דגש על ההתקדמות מרגישה אפשרית. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי חופשה; בלי להרגיש כמו פרסומת | שוט ראשון: תרגיל אחד פשוט; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: ארוחה מוכנה בקופסה; שמוכיח ומדגים שההתקדמות מרגישה אפשרית | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך אחרי חופשה; ומראה דרך צילום פשוט שההתקדמות מרגישה אפשרית. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שמרגישים שינוי באנרגיה; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
235,3,פיטנס ותזונה,UGC המלצה | בעיה קטנה פתרון קטן,35,ugc,הפינה הקטנה ביום שנפתרה,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של לפני קיץ; עם דגש על האימון נכנס לשבוע עמוס. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני קיץ; בלי להרגיש כמו פרסומת | שוט ראשון: מדידה לא דרמטית; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: מתאמן מתנשף ומחייך; שמוכיח ומדגים שהאימון נכנס לשבוע עמוס | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך לפני קיץ; ומראה דרך צילום פשוט שהאימון נכנס לשבוע עמוס. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שהקבוצה נותנת דחיפה; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
236,3,פיטנס ותזונה,UGC עדות עצמית | בעיה קטנה פתרון קטן,36,ugc,זה פתר לי משהו פשוט,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של באמצע שבוע עמוס; עם דגש על התזונה לא מרגישה עונש. | Video structure: פתיחה סלפי/POV בסיטואציה של באמצע שבוע עמוס; בלי להרגיש כמו פרסומת | שוט ראשון: סימון וי ביומן; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: שיחה קצרה עם מאמן; שמוכיח ומדגים שהתזונה לא מרגישה עונש | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך באמצע שבוע עמוס; ומראה דרך צילום פשוט שהתזונה לא מרגישה עונש. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שלא צריך להיות מושלם כדי להתמיד; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
237,3,פיטנס ותזונה,UGC המלצה | בעיה קטנה פתרון קטן,37,ugc,כמה קטן ככה שימושי,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של כשחוזרים לשגרה; עם דגש על יש יחס אישי. | Video structure: פתיחה סלפי/POV בסיטואציה של כשחוזרים לשגרה; בלי להרגיש כמו פרסומת | שוט ראשון: ארוחה מוכנה בקופסה; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: סוף אימון על הרצפה; שמוכיח ומדגים שיש יחס אישי | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך כשחוזרים לשגרה; ומראה דרך צילום פשוט שיש יחס אישי. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שקל להתחיל גם בלי כושר שיא; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
238,3,פיטנס ותזונה,UGC עדות עצמית | בעיה קטנה פתרון קטן,38,ugc,הפתרון שלא עשיתי ממנו עניין,Use when: מתאים למאמן כושר; סטודיו אימונים; יועץ תזונה; חדר כושר; פילאטיס; יוגה; קבוצת ריצה או מותג בריאות כשרוצים לקדם תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא תכנית אימון; תפריט; אימון ניסיון; אתגר; שיעור חדש; מסלול ליווי או מוצר תזונה או מסר כמו השקה; מבצע; שירות חדש; תוצאה; חוויה או יתרון נקודתי. | Hook: זה לא פתר לי את החיים; אבל [specific_product] כן פתר לי בעיה קטנה שממש הציקה. | Core idea: מציגים בעיה יומיומית אחת ואז מראים איך [specific_product] נותן לה פתרון פשוט; בלי הגזמה ובלי הבטחות ענק. בתוך סיטואציה של אחרי ארוחה כבדה; עם דגש על מרגישים שינוי באנרגיה. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי ארוחה כבדה; בלי להרגיש כמו פרסומת | שוט ראשון: מתאמן מתנשף ומחייך; כדי להראות שימוש אמיתי ב[specific_product] | שוט שני: נעליים ליד הדלת; שמוכיח ומדגים שמרגישים שינוי באנרגיה | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body: היוצר/ת מתייחס/ת ל[specific_product] כחלק מרגע יומיומי אמיתי; בודק/ת אותו דרך אחרי ארוחה כבדה; ומראה דרך צילום פשוט שמרגישים שינוי באנרגיה. במקום למכור; הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA: אם חיפשת משהו שמתאים לאנשים שרוצים להיכנס לשגרה בריאה בלי להרגיש שהם נכנסים למחנה צבאי ונותן תחושה שהמסגרת מחזיקה אותך; שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: הקלה מיידית; פרקטיות; הזדהות עם כאב קטן | Filming style: צילום אייפון אנכי; סלפי/POV; תאורה טבעית; עריכה קצרה; משפטים יומיומיים; בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name]; [specific_product]; [special_focus]; [audience]; [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.,briefi_ugc_conceptbank_1000_v2_import_ready_flat.csv,1000_UGC_Briefi_10_display_clean_v2,true
